Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-02-06 17:35:44,false,"Eugene - 10-4-sprint","3.41","424","00:38:42","159","178","157","231","11:21","4:51","85","102","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.35","19","0.0","00:38:39","00:38:42","405","480"
Running,2022-02-08 09:10:12,false,"Eugene - paces","2.91","353","00:30:25","167","189","156","191","10:26","6:13","364","361","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.52","32","0.0","00:30:00","00:31:08","357","533"
Running,2022-02-09 17:31:06,false,"Eugene Running","3.67","415","00:43:34","151","169","158","212","11:53","5:15","226","269","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:33.39","4","0.0","00:43:34","00:45:42","385","541"
Running,2022-02-12 17:07:43,false,"Eugene Running","2.02","205","00:18:56","162","186","169","175","9:24","8:33","7","20","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.94","3","0.0","00:18:56","00:18:56","415","445"
Running,2022-02-13 12:00:23,false,"Eugene Running","4.05","478","00:46:09","159","182","160","240","11:23","9:41","92","92","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:31.26","5","0.0","00:46:07","00:46:09","356","411"
Running,2022-02-15 16:30:09,false,"Eugene - longtuesday","6.19","716","01:17:33","153","186","144","203","12:32","5:44","141","197","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.43","25","0.0","01:16:13","01:17:33","322","406"
Running,2022-02-16 18:05:49,false,"Eugene Running","3.10","367","00:36:22","153","174","160","179","11:45","9:35","184","184","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:55.63","4","0.0","00:36:13","00:36:22","350","413"
Running,2022-02-17 10:21:18,false,"1 mi Time trial","1.01","97","00:08:19.4","170","184","171","189","8:13","6:19","36","49","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.41","2","0.0","00:08:18.9","00:08:19.4","371","413"
Running,2022-02-17 10:40:07,false,"Cool down","0.56","70","00:07:07.7","147","160","150","176","12:37","9:47","95","92","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:07.72","1","0.0","00:07:07.7","00:07:07.7","370","464"
Running,2022-02-18 10:37:44,false,"Eugene Running","3.02","372","00:33:54","161","180","166","175","11:14","9:45","49","82","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.66","4","0.0","00:33:48","00:33:54","365","473"
Running,2022-02-19 10:00:55,false,"Eugene Running","3.53","442","00:40:01","162","182","164","177","11:20","9:37","331","348","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:55.60","4","0.0","00:40:00","00:40:01","350","443"
Running,2022-02-21 16:57:40,false,"Eugene Running","3.01","370","00:35:21","147","162","164","173","11:45","10:07","7","20","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.40","4","0.0","00:35:21","00:35:21","423","446"
Running,2022-02-22 17:26:25,false,"Eugene - 2mi,6x100","2.01","249","00:23:50","154","168","169","176","11:52","11:06","13","49","0.80","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.63","3","0.0","00:23:48","00:23:50","358","406"
